                                0,49706626  0,48651122     -0,606332
                               -0,49164307 -0,50095139     -0,606471
                                0,49040295 -0,50128811     -0,606453
                               -0,49394608  0,49541772     -0,606461
40 0,20 1,10 20 1,100877 4
                               -0,50922863  0,49994138     -0,606454
                                0,51842892  0,47946316     -0,606068
                               -0,50991898 -0,48424215     -0,606310
                                0,49681806 -0,48641741     -0,606326
40 0,20 1,10 20 1,073852 4
                                0,48398399 -0,51207923     -0,606282
                                0,50170162  0,50112439     -0,606526
                               -0,52124976  0,50149264     -0,606101
                               -0,47608742 -0,48750673     -0,605678
40 0,20 1,10 20 1,104420 4
                               -0,51107578  0,50541067     -0,606357
                               -0,51206699 -0,5085616      -0,606271
                                0,53406976 -0,50184273     -0,605444
                                0,50578462  0,50327619     -0,606479
40 0,20 1,10 20 1,075071 4
                               -0,50131896  0,4975546      -0,606526
                                0,49074369  0,49814036     -0,606439
                               -0,50377029 -0,49822763     -0,606519
                                0,5057739  -0,45821909     -0,605051
40 0,20 1,10 20 1,096838 4
                                0,51583808  0,48874988     -0,606295
                               -0,50937856 -0,51965288     -0,605993
                               -0,49738218  0,4970614      -0,606512
                                0,47877487 -0,49819856     -0,606092
40 0,20 1,10 20 1,073317 4
                               -0,51688974 -0,46433178     -0,605479
                                0,49868788  0,4981461      -0,606524
                                0,50850092 -0,49673167     -0,606472
                               -0,5032398   0,51750863     -0,606210
40 0,20 1,10 20 1,099443 4
                               -0,49160946 -0,51379582     -0,606364
                                0,49189499  0,50233514     -0,606477
                               -0,4862152  0,5160124     -0,606258
                                0,52232931 -0,4818116      -0,606023
40 0,20 1,10 20 1,073896 4
                                0,50187377  0,51091835     -0,606407
                                0,4842865  -0,50026711     -0,606308
                               -0,50421236  0,49547215     -0,606507
                               -0,48243533 -0,51817712     -0,606143
40 0,20 1,10 20 1,095638 4
                                0,49341609  0,49240173     -0,606408
                                0,47156761 -0,48816637     -0,605451
                               -0,49680733  0,50683286     -0,606492
                               -0,49012066 -0,4964534      -0,606409
40 0,20 1,10 20 1,074058 4
                                0,5271827  -0,49562904     -0,605916
                               -0,49391633 -0,51587496     -0,606327
                                0,49228425  0,47945247     -0,605992
                               -0,52601996  0,46742078     -0,605464
40 0,20 1,10 20 1,092448 4
                                0,47907448 -0,49821242     -0,606104
                                0,54569613  0,48169828     -0,604840
